,Region,Track_Name,Rank,Artist,Cluster
325,gb,KIKA (feat. Tory Lanez),325,6ix9ine,0
326,gb,Swish Swish,326,Katy Perry,0
327,gb,Spoil My Night (feat. Swae Lee),327,Post Malone,3
328,gb,Have Yourself A Merry Little Christmas,328,Sam Smith,2
329,gb,Save Myself,329,Ed Sheeran,2
330,gb,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),330,Frank Sinatra,2
331,gb,Too Much To Ask,331,Niall Horan,3
332,gb,Greatest,332,Eminem,3
333,gb,Bohemian Rhapsody - Remastered 2011,333,Queen,2
334,gb,All Mine,334,Kanye West,1
335,gb,Not Alike (feat. Royce Da 5'9),335,Eminem,0
336,gb,Stay,336,Post Malone,3
337,gb,Body,337,Loud Luxury,0
338,gb,Going Bad (feat. Drake),338,Meek Mill,1
339,gb,Venom - Music From The Motion Picture,339,Eminem,3
340,gb,After The Afterparty (feat. Lil Yachty),340,Charli XCX,0
341,gb,Bank Account,341,21 Savage,1
342,gb,Merry Xmas Everybody,342,Slade,3
343,gb,Mo Bamba,343,Sheck Wes,3
344,gb,Wonderful Christmastime - Remastered 2011 / Edited Version,344,Paul McCartney,1
345,gb,Love On Me,345,Galantis,0
346,gb,imagine,346,Ariana Grande,1
347,gb,Ball For Me (feat. Nicki Minaj),347,Post Malone,1
348,gb,Rich & Sad,348,Post Malone,3
349,gb,Emotionless,349,Drake,3
350,gb,079ME,350,B Young,1
351,gb,Rewrite The Stars (with James Arthur & Anne-Marie),351,James Arthur,3
352,gb,Wasted Times,352,The Weeknd,1
353,gb,Bodak Yellow,353,Cardi B,0
354,gb,Christmas Lights,354,Coldplay,2
355,gb,Gyalchester,355,Drake,1
356,gb,Family Tree,356,Ramz,0
357,gb,LOYALTY. FEAT. RIHANNA.,357,Kendrick Lamar,1
358,gb,Madiba Riddim,358,Drake,1
359,gb,Be Careful,359,Cardi B,1
360,gb,Kamikaze,360,Eminem,0
361,gb,Pray,361,Sam Smith,2
362,gb,Mob Ties,362,Drake,1
363,gb,One Last Song,363,Sam Smith,3
364,gb,Ay Caramba,364,Stay Flee Get Lizzy,0
365,gb,Mercy,365,Shawn Mendes,3
366,gb,Over Now,366,Post Malone,3
367,gb,Three Lions,367,"Baddiel, Skinner & Lightning Seeds",3
368,gb,Back To You - From 13 Reasons Why – Season 2 Soundtrack,368,Selena Gomez,3
369,gb,Little Bit Leave It,369,Chris & Kem,0
